"name","title","dataset_completion_date","georesource_report_type","resource_authority_permit"
"cr090420","EPM 18838, JULIA CREEK, ANNUAL REPORT FOR PERIOD ENDING 18/1/2015","2015-01-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 18838""]"
"cr096570","EPM 25747, GREENWOOD PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/4/2016","2016-05-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25747""]"
"cr096571","EPM 25748, GREENWOOD PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/4/2016","2016-05-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25748""]"
"cr101102","EPM 25668, ANNUAL REPORT FOR PERIOD ENDING 25/5/2017","2017-05-25T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25668""]"
"cr102628","EPM 25440, ANNUAL REPORT FOR PERIOD ENDING 4/8/2017","2017-08-04T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25440""]"
"cr102852","EPM 25808, CUDGEE CREEK SOUTH, ANNUAL REPORT FOR PERIOD ENDING 15/10/2016","2016-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25808""]"
"cr102854","EPM 25809, NORMAN RIVER, ANNUAL REPORT FOR PERIOD ENDING 15/10/2016","2016-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25809""]"
"cr102856","EPM 25811, CLARA RIVER EAST, ANNUAL REPORT FOR PERIOD ENDING 15/10/2016","2016-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25811""]"
"cr102903","EPM 19156, CUDGEE CREEK, ANNUAL REPORT FOR PERIOD ENDING 12/6/2017","2017-06-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19156""]"
"cr103628","EPM 25809, NORMAN RIVER, ANNUAL REPORT FOR PERIOD ENDING 15/10/2017","2017-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25809""]"
"cr103631","EPM 25811, CLARA RIVER EAST, ANNUAL REPORT FOR PERIOD ENDING 15/10/2017","2017-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25811""]"
"cr103633","EPM 25808, CUDGEE CREEK SOUTH, ANNUAL REPORT FOR PERIOD ENDING 15/10/2017","2017-10-15T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25808""]"
"cr104769","EPM 19746, ANNUAL REPORT FOR PERIOD ENDING 18/12/2017","2017-12-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19746""]"
"cr104777","EPM 19748, ETTA PLAINS PROJECT, ANNUAL REPORT FOR PERIOD ENDING 18/12/2017","2017-12-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19748""]"
"cr106188","EPM 25968, ANNUAL REPORT FOR PERIOD ENDING 14/3/2018","2018-03-14T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25968""]"
"cr106196","EPM 25268, ANNUAL REPORT FOR PERIOD ENDING 7/4/2018","2018-04-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25268""]"
"cr106909","EPM 25668, ANNUAL REPORT FOR PERIOD ENDING 25/5/2018","2018-05-25T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25668""]"
"cr107485","EPM 26425, MANFRED, RICHMOND-JULIA CREEK PROJECT, ANNUAL REPORT FOR PERIOD ENDING 11/6/2018","2018-06-11T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 26425""]"
"cr108371","EPM 25440, ANNUAL REPORT FOR PERIOD ENDING 4/8/2018","2018-08-04T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 25440""]"
"cr109588","EPM 26462, BIG OXIDE NORTH, ANNUAL REPORT FOR PERIOD ENDING 28/8/2018","2018-08-28T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 26462""]"
"cr110373","EPM 19745, HADDINGTON, ANNUAL REPORT FOR PERIOD ENDING 21/1/2019","2019-01-21T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19745""]"
"cr110374","EPM 19746, ANNUAL REPORT FOR PERIOD ENDING 18/12/2018","2018-12-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19746""]"
"cr110375","EPM 19747, ANNUAL REPORT FOR PERIOD ENDING 17/12/2018","2018-12-17T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19747""]"
"cr110376","EPM 19748, ANNUAL REPORT FOR PERIOD ENDING 17/12/2018","2018-12-17T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19748""]"
"cr116944","EPM 19745, ANNUAL REPORT FOR PERIOD ENDING 21/1/2010","2010-01-21T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 19745""]"
